id;homework_code;homework_memo;homework_target;homework_grade;homework_deadline;data_time
1;Tanzania Fiji Dollar Profound;parsing;Borders content-based;99625;2019-09-12T06:15:47;2019-09-11T09:19:40
2;Virginia THX pink;cross-media;programming SCSI drive;88777;2019-09-11T17:05:20;2019-09-11T12:04:32
3;Marketing;Dynamic Home Loan Account Tools;Branding;97366;2019-09-12T08:22:34;2019-09-12T01:41:01
4;knowledge user;Cayman Islands Dollar invoice;Fish;1807;2019-09-12T02:48:13;2019-09-11T20:38:39
5;Fish;payment calculating;local area network Benin;50881;2019-09-11T23:40:21;2019-09-11T17:13:33
6;Ergonomic;Strategist target;Investor users dot-com;64510;2019-09-11T18:39:07;2019-09-11T16:26:37
7;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;27956;2019-09-11T10:32:28;2019-09-11T11:17:38
8;back up Factors;architectures;Wisconsin Facilitator Incredible;30569;2019-09-11T23:15:19;2019-09-12T03:54:56
9;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;35864;2019-09-12T05:08:08;2019-09-12T02:23:52
10;system-worthy portal;Belize Dollar Sudanese Pound real-time;protocol;41978;2019-09-11T13:03:18;2019-09-12T02:20:55
